Clone|text|to_user_id|from_user|id|from_user_id|lang|source|user_image_url|geo_type|geo_latitude|geo_longitude|created_at|time|type|rt_count|favorite_count|place|country|hashtags|urls|media_link|media_url|bounding_box|mentions_user|mentions_user_id|reply_user|reply_id|rt_user_id|rt_user|rt_id|rt_source|rt_created_at|user_tweets|user_followers|user_following|user_listed|user_favorited|user_created_at|user_lang|user_location|user_time_zone|user_description|user_url|user_protected_tweets|user_default_layout|user_default_image|images|median H|median S|median V|dominant color
0|RT @sou_Do_Cassy: Era uma vez, a camioneira, e o Ã­ndio.â€ïžðÿÿðÿ»âÿš #KestaIsReal @Kefera @gustastockler http://t.co/uOrgK1BFco||bellinha_03|607981498432647169|3086948196|pt|Twitter for iPhone |http://pbs.twimg.com/profile_images/599685309186584577/caGwMfD1_normal.jpg||||Mon Jun 08 18:44:19 +0000 2015|1433789059|Retweet|4|0|||#KestaIsReal||http://twitter.com/sou_Do_Cassy/status/605083407345926146/photo/1|http://pbs.twimg.com/media/CGWwGKbW8AAf0_t.jpg||sou_Do_Cassy, Kefera, gustastockler|783376363, 37545509, 31631327|||783376363|sou_Do_Cassy|605083407345926146|Twitter for iPhone |Sun May 31 18:48:20 +0000 2015|186|35|125|0|102|Sun Mar 15 21:36:21 +0000 2015|es||Pacific Time (US & Canada)|Se vc me deseja o mal, eu te desejo o bem. Afinal, cada um oferece aquilo que tem|||True||100010.jpg|198|128|131|6A4B6B
1|RT @sou_Do_Cassy: Era uma vez, a camioneira, e o Ã­ndio.â€ïžðÿÿðÿ»âÿš #KestaIsReal @Kefera @gustastockler http://t.co/uOrgK1BFco||bellinha_03|607981498432647169|3086948196|pt|Twitter for iPhone |http://pbs.twimg.com/profile_images/599685309186584577/caGwMfD1_normal.jpg||||Mon Jun 08 18:44:19 +0000 2015|1433789059|Retweet|4|0|||#KestaIsReal||http://twitter.com/sou_Do_Cassy/status/605083407345926146/photo/1|http://pbs.twimg.com/media/CGWwGKbW8AAf0_t.jpg||sou_Do_Cassy, Kefera, gustastockler|783376363, 37545509, 31631327|||783376363|sou_Do_Cassy|605083407345926146|Twitter for iPhone |Sun May 31 18:48:20 +0000 2015|186|35|125|0|102|Sun Mar 15 21:36:21 +0000 2015|es||Pacific Time (US & Canada)|Se vc me deseja o mal, eu te desejo o bem. Afinal, cada um oferece aquilo que tem|||True||100011.jpg|113|55|183|AA948E
1|RT @sou_Do_Cassy: Era uma vez, a camioneira, e o Ã­ndio.â€ïžðÿÿðÿ»âÿš #KestaIsReal @Kefera @gustastockler http://t.co/uOrgK1BFco||bellinha_03|607981498432647169|3086948196|pt|Twitter for iPhone |http://pbs.twimg.com/profile_images/599685309186584577/caGwMfD1_normal.jpg||||Mon Jun 08 18:44:19 +0000 2015|1433789059|Retweet|4|0|||#KestaIsReal||http://twitter.com/sou_Do_Cassy/status/605083407345926146/photo/1|http://pbs.twimg.com/media/CGWwGKbW8AAf0_t.jpg||sou_Do_Cassy, Kefera, gustastockler|783376363, 37545509, 31631327|||783376363|sou_Do_Cassy|605083407345926146|Twitter for iPhone |Sun May 31 18:48:20 +0000 2015|186|35|125|0|102|Sun Mar 15 21:36:21 +0000 2015|es||Pacific Time (US & Canada)|Se vc me deseja o mal, eu te desejo o bem. Afinal, cada um oferece aquilo que tem|||True||100012.jpg|146|75|150|707B88
0|RT @sou_Do_Cassy: Era uma vez, a camioneira, e o Ã­ndio.â€ïžðÿÿðÿ»âÿš #KestaIsReal @Kefera @gustastockler http://t.co/uOrgK1BFco||BigTime_Ana|607979819536662530|3073761898|pt|Twitter for Android Tablets |http://pbs.twimg.com/profile_images/605462169086492673/nF1eM75s_normal.jpg||||Mon Jun 08 18:37:39 +0000 2015|1433788659|Retweet|4|0|||#KestaIsReal||http://twitter.com/sou_Do_Cassy/status/605083407345926146/photo/1|http://pbs.twimg.com/media/CGWwGKbW8AAf0_t.jpg||sou_Do_Cassy, Kefera, gustastockler|783376363, 37545509, 31631327|||783376363|sou_Do_Cassy|605083407345926146|Twitter for iPhone |Sun May 31 18:48:20 +0000 2015|3887|218|172|0|2338|Thu Mar 05 23:33:46 +0000 2015|pt|Campinas, SÃ£o Paulo|Atlantic Time (Canada)|Where is Big Time Rush?|||||100010.jpg|198|128|131|6A4B6B
1|RT @sou_Do_Cassy: Era uma vez, a camioneira, e o Ã­ndio.â€ïžðÿÿðÿ»âÿš #KestaIsReal @Kefera @gustastockler http://t.co/uOrgK1BFco||BigTime_Ana|607979819536662530|3073761898|pt|Twitter for Android Tablets |http://pbs.twimg.com/profile_images/605462169086492673/nF1eM75s_normal.jpg||||Mon Jun 08 18:37:39 +0000 2015|1433788659|Retweet|4|0|||#KestaIsReal||http://twitter.com/sou_Do_Cassy/status/605083407345926146/photo/1|http://pbs.twimg.com/media/CGWwGKbW8AAf0_t.jpg||sou_Do_Cassy, Kefera, gustastockler|783376363, 37545509, 31631327|||783376363|sou_Do_Cassy|605083407345926146|Twitter for iPhone |Sun May 31 18:48:20 +0000 2015|3887|218|172|0|2338|Thu Mar 05 23:33:46 +0000 2015|pt|Campinas, SÃ£o Paulo|Atlantic Time (Canada)|Where is Big Time Rush?|||||100011.jpg|113|55|183|AA948E
1|RT @sou_Do_Cassy: Era uma vez, a camioneira, e o Ã­ndio.â€ïžðÿÿðÿ»âÿš #KestaIsReal @Kefera @gustastockler http://t.co/uOrgK1BFco||BigTime_Ana|607979819536662530|3073761898|pt|Twitter for Android Tablets |http://pbs.twimg.com/profile_images/605462169086492673/nF1eM75s_normal.jpg||||Mon Jun 08 18:37:39 +0000 2015|1433788659|Retweet|4|0|||#KestaIsReal||http://twitter.com/sou_Do_Cassy/status/605083407345926146/photo/1|http://pbs.twimg.com/media/CGWwGKbW8AAf0_t.jpg||sou_Do_Cassy, Kefera, gustastockler|783376363, 37545509, 31631327|||783376363|sou_Do_Cassy|605083407345926146|Twitter for iPhone |Sun May 31 18:48:20 +0000 2015|3887|218|172|0|2338|Thu Mar 05 23:33:46 +0000 2015|pt|Campinas, SÃ£o Paulo|Atlantic Time (Canada)|Where is Big Time Rush?|||||100012.jpg|146|75|150|707B88
0|@gustastockler nÃ£o sabia que Ã­ndios poderiam ser tÃ£o lindos â€ïž http://t.co/NIkXfmyyuq|31631327|Fr3e_Dre4ms|607966811267715072|3303975311|pt|Twitter for iPhone |http://pbs.twimg.com/profile_images/606148987436077056/ur5OWjtM_normal.jpg||||Mon Jun 08 17:45:57 +0000 2015|1433785557|Reply|0|0|||||http://twitter.com/Fr3e_Dre4ms/status/607966811267715072/photo/1|http://pbs.twimg.com/media/CG_uk2rWQAAfpoc.jpg||gustastockler|31631327|gustastockler|||||||41|17|66|0|21|Sat May 30 19:14:14 +0000 2015|pt|||Tantas Pessoas No Mundo e Eu Fui Me Apaixonar Por Idiotas Que Conversam Com a CÃ¢mera|||True||100013.jpg|173|116|114|474272
0|"Lembra da ""cara de beijo""? EntÃ£o... O @gustastockler (o Ã­ndio do cabelo lindoðÿÿÿ) tava reparando na sua. @Kefera #Kesta http://t.co/ynOMGOFJKC"||alicechelini|607963513307467776|315999505|pt|Twitter for iPhone |http://pbs.twimg.com/profile_images/607962797427838977/9AMXhxsg_normal.jpg||||Mon Jun 08 17:32:51 +0000 2015|1433784771|Tweet|1|2|||#Kesta||http://twitter.com/alicechelini/status/607963513307467776/photo/1|http://pbs.twimg.com/media/CG_rksOWQAAbOVp.jpg||gustastockler, Kefera|31631327, 37545509||||||||3722|251|676|0|10846|Sun Jun 12 19:47:36 +0000 2011|pt|Keferaland|Brasilia|Sou daquelas que tranca a porta do banheiro mesmo quando ta sozinha em casa, porque eu tenho medo de um ladrÃ£o entrar lÃ¡ e me ver singing in the shower..|||||100014.jpg|188|113|110|55406A
0|Veja por que os desafios para a entrada de indÃ­genas no ensino superior continuam imensos http://t.co/KyPAcrR1ma http://t.co/WydDblWTDi||PortalNamu|607963099585515520|1289181715|pt|Twitter Web Client |http://pbs.twimg.com/profile_images/474970702173310977/XqwLN18L_normal.png||||Mon Jun 08 17:31:13 +0000 2015|1433784673|Tweet|0|0||||"""http://goo.gl/IHCFQB"""|http://twitter.com/PortalNamu/status/607963099585515520/photo/1|http://pbs.twimg.com/media/CG_rN5hWQAECT5_.jpg|||||||||||2678|378|742|4|261|Fri Mar 22 16:58:14 +0000 2013|pt|SÃ£o Paulo, SP - Brasil|Mid-Atlantic|O Portal NAMU quer inspirar mudanÃ§as com informaÃ§Ãµes que contribuem para a ampliaÃ§Ã£o da consciÃªncia ligada Ã  nossa qualidade de vida.|http://t.co/J6yN0I1fOk||||100015.jpg|37|116|80|4A3735
0|Passei domingo aprendendo um pouco da cultura indÃ­gena, etalÃªlÃª muito top . Os puris eram demais / Nasce uma cidade http://t.co/aXZzJBMMIJ||gaspbm|607957377921519616|439161591|pt|Twitter Web Client |http://pbs.twimg.com/profile_images/606854385386299392/4Z8Rvh2s_normal.jpg||||Mon Jun 08 17:08:28 +0000 2015|1433783308|Tweet|0|0|Rio de Janeiro, Brasil|Brasil|||http://twitter.com/gaspbm/status/607957377921519616/photo/1|http://pbs.twimg.com/media/CG_mAzxW8AAZHpz.jpg|[[[-43.795449, -23.08302], [-43.0877068, -23.08302], [-43.0877068, -22.7398234], [-43.795449, -22.7398234]]]||||||||||15427|1335|468|4|2798|Sat Dec 17 12:48:17 +0000 2011|pt|SÃ£o CristovÃ£o, RJ|Brasilia|Sem querer, roubei seu coraÃ§Ã£o / Desculpe meu amor nÃ£o tive a intenÃ§Ã£o|http://t.co/uYHQjPfyxc||||100016.jpg|18|62|33|201C19
0|Atendimento odontolÃ³gico a Ã­ndios tambÃ©m transforma vidas de alunos. Leia mais http://t.co/SZQGQB90Zc http://t.co/TS7vU6zziA||unimep|607956079989899264|22778144|pt|Twitter Web Client |http://pbs.twimg.com/profile_images/532929166706880512/6gy-hTyl_normal.png||||Mon Jun 08 17:03:19 +0000 2015|1433782999|Tweet|0|2||||"""http://bit.ly/1MC1gjK"""|http://twitter.com/unimep/status/607956079989899264/photo/1|http://pbs.twimg.com/media/CG_k1SwXEAEzl1W.jpg|||||||||||4049|3965|3738|66|181|Wed Mar 04 14:25:03 +0000 2009|pt|Piracicaba - SP - Brasil|Brasilia|A Universidade Metodista de Piracicaba Ã© uma das mais conceituadas instituiÃ§Ãµes de ensino, pesquisa e extensÃ£o de SÃ£o Paulo. Facebook:http://t.co/LuRO0Wwsg1|http://t.co/5LDGVf9aYS||||100017.jpg|22|28|163|9F9790
0|Saberes indÃ­genas, muito alÃ©m do romantismo  http://t.co/1ADlPCJ0hf http://t.co/9ZqJBTDLaE||contro_versia|607955529886007296|157650192|pt|Contro_versia |http://pbs.twimg.com/profile_images/529287969971007490/vWyfG1BI_normal.png||||Mon Jun 08 17:01:08 +0000 2015|1433782868|Tweet|0|1||||"""http://controversia.com.br/17296"""|http://twitter.com/contro_versia/status/607955529886007296/photo/1|http://pbs.twimg.com/media/CG_kVVKWoAAyC-E.jpg|||||||||||14618|615|282|14|2|Sun Jun 20 12:56:48 +0000 2010|pt|Santo AndrÃ©, SP.|Greenland|Um espaÃ§o de leitura e debate.|http://t.co/8eNyhFZZvU||||100018.jpg|23|94|127|79614D
0|"David Suzuki: ""Povos indÃ­genas, e nÃ£o ambientalistas, a melhor opÃ§Ã£o para proteger o planeta"" http://t.co/ZKmZEJA8q6 http://t.co/Oq9zI2riCM"||PersonalEscrito|607953123005636609|57828037|pt|Twitter Web Client |http://pbs.twimg.com/profile_images/594385552411127808/aqg5Z3Yq_normal.jpg||||Mon Jun 08 16:51:34 +0000 2015|1433782294|Tweet|4|2||||"""http://www.vancouversun.com/business/David+Suzuki+Aboriginal+people+environmentalists+best/11112668/story.html"""|http://twitter.com/PersonalEscrito/status/607953123005636609/photo/1|http://pbs.twimg.com/media/CG_iJJ0WcAADZKC.jpg|||||||||||192424|10385|7712|415|19836|Sat Jul 18 02:22:46 +0000 2009|pt|Brasil|Brasilia|Contra Belo Monte e outras hidrelÃ©tricas na AmazÃŽnia; contra a mineraÃ§Ã£o, hidrovias, estradas e agronegÃ³cio desmatador em terras #indÃ­genas. #indigenous #Gaza|http://t.co/r8cPPHP1iu||||100019.jpg|14|146|61|3D2316
0|RT @FrasesdaKefera: O Ã­ndio @gustastockler vai ver a mulher branca @Kefera amanhÃ£? #KeferaNoEncontro http://t.co/7wK1Vsbiij||melniicolle|607950938368831488|3100300924|pt|Twitter for iPhone |http://pbs.twimg.com/profile_images/607947570917351426/ACRp71_L_normal.jpg||||Mon Jun 08 16:42:53 +0000 2015|1433781773|Retweet|182|0|||#KeferaNoEncontro||http://twitter.com/FrasesdaKefera/status/606275892873207808/photo/1|http://pbs.twimg.com/media/CGnsthmWQAAwEtA.png||FrasesdaKefera, gustastockler, Kefera|66256190, 31631327, 37545509|||66256190|FrasesdaKefera|606275892873207808|Twitter Web Client |Thu Jun 04 01:46:51 +0000 2015|16|38|224|0|5|Fri Mar 20 20:52:37 +0000 2015|pt|||TrÃªs passos para me irritar:Me faÃ§a esperar,me faÃ§a ciÃºmes,e nÃ£o me de atenÃ§Ã£o.Fim.|||True||100020.png|24|64|68|3E3531
0|El Pais: Crescimento econÃŽmico afugenta indÃ­genas isolados do Peru para o Brasil http://t.co/eFJfRuK0VN http://t.co/5HIAv55DLr||oindigenista|607943396599033856|3011302853|pt|WordPress.com |http://pbs.twimg.com/profile_images/599630948469252099/KiM6byPe_normal.jpg||||Mon Jun 08 16:12:55 +0000 2015|1433779975|Tweet|0|0||||"""http://oindigenista.com/2015/06/08/el-pais-crescimento-economico-afugenta-indigenas-isolados-do-peru-para-o-brasil"""|http://twitter.com/oindigenista/status/607943396599033856/photo/1|http://pbs.twimg.com/media/CG_ZTBqUQAAwBl3.jpg|||||||||||357|37|24|0|0|Mon Feb 02 00:38:36 +0000 2015|pt||||||True||100021.jpg|153|40|223|C2D1E1
0|COMEÃÿO DA PERDA DIREITO PROPRIEDADEURBANA? PQ RURAL JA TEMOS MST, INDIGENAS INVASORES...@Confisconao http://t.co/6ttQDuwAAq||mcorrea_7|607941273912246272|1541143442|pt|Twitter Web Client |http://pbs.twimg.com/profile_images/526722861436637185/L5QOBW9m_normal.jpeg||||Mon Jun 08 16:04:29 +0000 2015|1433779469|Tweet|0|0|Brazil|Brasil|||http://twitter.com/mcorrea_7/status/607941273912246272/photo/1|http://pbs.twimg.com/media/CG_XXcEXAAANuKz.jpg|[[[-73.991482, -33.7510506], [-32.378186, -33.7510506], [-32.378186, 5.27192], [-73.991482, 5.27192]]]|Confisconao|1223143608||||||||7171|691|1080|4|1889|Sun Jun 23 14:47:52 +0000 2013|pt|Brasil.|Brasilia|Federal Government need pay not confiscate our lands- Mato Grosso do Sul.|||||100022.jpg|18|2|254|EFEEF0
0|RT @GabyDarruiz: Oi gente, sÃ³ passei pra avisar que o Gustavo n Ã© mais Ã­ndio, agr ele virou um pombo... #askstokies http://t.co/xkuGsxiOND||RafaHinckel|607934181453217792|2999042621|pt|Twitter for Android |http://pbs.twimg.com/profile_images/576536177488076800/CFE78XAF_normal.jpeg||||Mon Jun 08 15:36:18 +0000 2015|1433777778|Retweet|2|0|||#askstokies||http://twitter.com/GabyDarruiz/status/607347574144679936/photo/1|http://pbs.twimg.com/media/CG27ZjWWQAAhb6j.jpg||GabyDarruiz|2657766242|||2657766242|GabyDarruiz|607347574144679936|Twitter for Android |Sun Jun 07 00:45:20 +0000 2015|2293|598|1542|0|3511|Mon Jan 26 02:07:57 +0000 2015|pt|Hogwarts||Apaixonada por um IndÃ­genaÂ·Gabii MariÂ·QUERIA TER OLHOS Q MUDAM DE COR.|http://t.co/BmTnnYfMnb||||100023.jpg|199|146|132|7F5162
0|RT @Indio_eh_nos: Atualizado: 2Âº Ato O JaraguÃ¡ Ã© Guarani: 18/6/2015 no VÃ£o Livre do MASP  http://t.co/ftXDZexFBM http://t.co/89VURphkee||HAILYJAHI|607933831170146304|3302825578|pt|Twitter for Windows Phone |http://pbs.twimg.com/profile_images/604273669146296321/LQfW-dhq_normal.jpg||||Mon Jun 08 15:34:54 +0000 2015|1433777694|Retweet|16|0||||"""http://www.indio-eh-nos.eco.br/2015/05/26/2o-ato-o-jaragua-e-guarani-1862015-no-vao-livre-do-masp/"""|http://twitter.com/Indio_eh_nos/status/606879724371976192/photo/1|http://pbs.twimg.com/media/CGwR5HjU8AAv5rH.png||Indio_eh_nos|2368242392|||2368242392|Indio_eh_nos|606879724371976192|Twitter Web Client |Fri Jun 05 17:46:16 +0000 2015|168|3|14|1|229|Fri May 29 13:07:34 +0000 2015|en||||||True||100024.png|149|81|197|818C97
0|RT @cartacapital: No Senado surge uma esperanÃ§a para as terras indÃ­genas  http://t.co/4x8cOoxEyY http://t.co/IZoW1WBIQH||carlosjoseph23|607932301905915905|233436319|pt|Twitter for iPad |http://pbs.twimg.com/profile_images/1206746003/morte_da_bezerra_normal.jpg||||Mon Jun 08 15:28:50 +0000 2015|1433777330|Retweet|46|0||||"""http://bit.ly/1JnzvNq"""|http://twitter.com/cartacapital/status/606513426148532224/photo/1|http://pbs.twimg.com/media/CGrEv15WwAEfq5b.jpg||cartacapital|16632084|||16632084|cartacapital|606513426148532224|Buffer |Thu Jun 04 17:30:43 +0000 2015|59|31|82|0|1|Mon Jan 03 06:30:09 +0000 2011|en|Campina Grande- PB|Greenland|Professor de sociologia e contador de histÃ³rias.|||||100005.jpg|40|32|95|595647
0|RT @combateracismo: Comunidade indÃ­gena de Tabatinga recebe I Marcha Contra a ViolÃªncia  http://t.co/lFMENlaD6t http://t.co/IuRVIa10zt||ramos_tininha|607926633174036480|1738379010|pt|Twitter for Android Tablets |http://pbs.twimg.com/profile_images/526352407744512000/tMmo4hPR_normal.jpeg||||Mon Jun 08 15:06:18 +0000 2015|1433775978|Retweet|4|0||||"""http://racismoambiental.net.br/?p=182751"""|http://twitter.com/combateracismo/status/607918311330873345/photo/1|http://pbs.twimg.com/media/CG_CeNmUgAA5nGe.jpg||combateracismo|273513557|||273513557|combateracismo|607918311330873345|Twitter Web Client |Mon Jun 08 14:33:14 +0000 2015|272|33|193|0|373|Fri Sep 06 23:41:52 +0000 2013|pt||||||||100025.jpg|34|49|103|625652
0|RT @_ihu: âÿÿNÃ£o temos terra nem para enterrar nossos familiares mortos pelos fazendeirosâÿ http://t.co/XJOGq22Mkb http://t.co/9wxZ3XguiP||tgporto|607926538143735808|2869973397|pt|Twitter for Android |http://pbs.twimg.com/profile_images/605459962047934464/ydNwlBDz_normal.jpg||||Mon Jun 08 15:05:56 +0000 2015|1433775956|Retweet|6|0||||"""http://bit.ly/1AXiuXK"""|http://twitter.com/_ihu/status/607913747789705216/photo/1|http://pbs.twimg.com/media/CG-1ZiQVAAAhtxx.png||_ihu|41123392|||41123392|_ihu|607913747789705216|TweetDeck |Mon Jun 08 14:15:06 +0000 2015|1409|65|272|0|1171|Mon Nov 10 02:56:03 +0000 2014|pt|Porto Alegre, RS|Pacific Time (US & Canada)|FilÃ³sofo, pesquisador na Ã¡rea de OpiniÃ£o PÃºblica, Filosofia PolÃ­tica e Social e Democracia Digital.|||||100026.png|20|145|158|A16C44
